ubx469:70 lbx469:45.0476
ubx470:70 lbx470:45.0476
ubx471:70 lbx471:45.0476
ubx472:inf lbx472:0
ubx473:16000 lbx473:1600
ubx474:20000 lbx474:2000
ubx475:0 lbx475:0
ubx476:0 lbx476:0
ubx477:70 lbx477:45
ubx478:70 lbx478:45
ubx479:70 lbx479:45
ubx480:70 lbx480:45
ubx481:inf lbx481:0
ubx482:16000 lbx482:1600
ubx483:20000 lbx483:2000
ubx484:0 lbx484:0
ubx485:0 lbx485:0
ubx486:70 lbx486:44.9524
ubx487:70 lbx487:44.9524
ubx488:70 lbx488:44.9524
ubx489:70 lbx489:44.9524
ubx490:inf lbx490:0
ubx491:16000 lbx491:1600
ubx492:20000 lbx492:2000
ubx493:0 lbx493:0
ubx494:0 lbx494:0
ubx495:70 lbx495:44.9048
ubx496:70 lbx496:44.9048
ubx497:70 lbx497:44.9048
ubx498:70 lbx498:44.9048
ubx499:inf lbx499:0
ubx500:16000 lbx500:1600
ubx501:20000 lbx501:2000
ubx502:0 lbx502:0
ubx503:0 lbx503:0
ubx504:70 lbx504:44.8571
ubx505:70 lbx505:44.8571
ubx506:70 lbx506:44.8571
ubx507:70 lbx507:44.8571
ubx508:inf lbx508:0
ubx509:16000 lbx509:1600
ubx510:20000 lbx510:2000
ubx511:0 lbx511:0
ubx512:0 lbx512:0
ubx513:70 lbx513:44.8393
ubx514:70 lbx514:44.8393
ubx515:70 lbx515:44.8393
ubx516:70 lbx516:44.8393
ubx517:inf lbx517:0
ubx518:16000 lbx518:1600
ubx519:20000 lbx519:2000
ubx520:0 lbx520:0
ubx521:0 lbx521:0
ubx522:70 lbx522:44.8214
ubx523:70 lbx523:44.8214
ubx524:70 lbx524:44.8214
ubx525:70 lbx525:44.8214
ubx526:inf lbx526:0
ubx527:16000 lbx527:1600
ubx528:20000 lbx528:2000
ubx529:0 lbx529:0
ubx530:0 lbx530:0
ubx531:70 lbx531:44.8036
ubx532:70 lbx532:44.8036
ubx533:70 lbx533:44.8036
ubx534:70 lbx534:44.8036
ubx535:inf lbx535:0
ubx536:16000 lbx536:1600
