time;aussen
20:07:04;7.3
20:17:01;7.2
20:17:02;7.2
20:17:04;7.2
20:17:05;7.2
20:17:06;7.2
20:17:10;7.2
20:27:01;7.3
20:27:02;7.3
20:27:03;7.3
20:27:04;7.3
20:27:05;7.3
20:27:06;7.3
20:27:08;7.3
20:37:01;7.2
20:47:01;7.3
20:47:02;7.3
20:47:03;7.3
20:47:06;7.3
20:47:08;7.3
20:47:10;7.3
20:57:02;7.3
20:57:03;7.3
20:57:06;7.3
20:57:08;7.3
20:57:10;7.3
21:07:01;7.4
21:07:02;7.4
21:07:03;7.4
21:07:06;7.4
21:07:08;7.4
21:07:10;7.4
21:17:01;7.6
21:17:03;7.6
21:17:10;7.6
21:27:03;7.6
21:27:10;7.6
21:37:03;7.6
21:37:08;7.6
21:37:10;7.6
21:47:02;7.6
21:47:03;7.6
21:47:06;7.6
21:47:10;7.6
21:57:01;7.6
21:57:02;7.6
21:57:05;7.6
21:57:10;7.6
22:07:01;7.6
22:07:02;7.6
22:07:03;7.6
22:07:04;7.6
22:17:00;7.7
22:17:01;7.7
22:17:02;7.7
22:17:04;7.7
22:17:05;7.7
22:17:07;7.7
22:17:09;7.7
22:27:00;7.6
22:27:01;7.6
22:27:02;7.6
22:27:04;7.6
22:27:07;7.6
22:27:09;7.6
22:37:00;7.7
22:37:01;7.7
22:37:02;7.7
22:47:00;7.8
22:47:02;7.8
22:47:03;7.8
22:47:04;7.8
22:57:00;7.7
22:57:01;7.7
22:57:02;7.7
22:57:04;7.7
22:57:05;7.7
22:57:07;7.7
22:57:09;7.7
23:07:00;7.8
23:07:01;7.8
23:07:02;7.8
23:07:05;7.8
23:07:09;7.8
23:17:00;7.7
23:17:02;7.7
23:17:07;7.7
23:17:09;7.7
23:27:01;7.7
23:27:02;7.7
23:27:03;7.7
23:27:05;7.7
23:27:09;7.7
23:37:00;7.8
23:37:05;7.8
23:37:07;7.8
23:37:09;7.8
23:47:00;7.6
23:47:01;7.6
23:47:02;7.6
23:47:03;7.6
23:47:04;7.6
23:47:09;7.6
23:57:00;7.7
23:57:01;7.7
23:57:02;7.7
23:57:03;7.7
23:57:09;7.7
