time;aussen
17:36:57;2.1
17:36:58;2.1
17:37:03;2.1
17:46:54;1.8
17:46:55;1.8
17:46:57;1.8
17:46:58;1.8
17:46:59;1.8
17:47:01;1.8
17:47:03;1.8
17:56:54;1.7
17:56:57;1.7
17:56:58;1.7
17:56:59;1.7
17:57:03;1.7
18:06:54;1.6
18:06:55;1.6
18:06:56;1.6
18:06:57;1.6
18:06:58;1.6
18:06:59;1.6
18:07:01;1.6
18:07:03;1.6
18:16:54;1.3
18:16:55;1.3
18:16:56;1.3
18:16:58;1.3
18:16:59;1.3
18:17:01;1.3
18:17:03;1.3
18:26:54;1.2
18:26:55;1.2
18:26:57;1.2
18:27:01;1.2
18:27:03;1.2
18:36:54;1.0
18:36:55;1.0
18:36:57;1.0
18:36:58;1.0
18:36:59;1.0
18:37:01;1.0
18:37:03;1.0
18:46:54;0.9
18:46:55;0.9
18:46:57;0.9
18:46:59;0.9
18:47:01;0.9
18:47:03;0.9
18:56:55;0.9
18:56:56;0.9
18:56:59;0.9
18:57:01;0.9
19:06:55;0.9
19:06:56;0.9
19:06:57;0.9
19:06:58;0.9
19:07:01;0.9
19:16:54;0.8
19:16:55;0.8
19:16:56;0.8
19:16:57;0.8
19:16:58;0.8
19:16:59;0.8
19:17:01;0.8
19:17:03;0.8
19:26:54;0.6
19:26:56;0.6
19:26:57;0.6
19:26:59;0.6
19:27:01;0.6
19:27:03;0.6
19:36:55;0.6
19:36:56;0.6
19:36:57;0.6
19:36:58;0.6
19:36:59;0.6
19:37:03;0.6
19:46:55;0.6
19:46:56;0.6
19:47:01;0.6
19:47:03;0.6
19:56:58;0.6
19:57:03;0.6
20:06:57;0.6
20:06:59;0.6
20:07:01;0.6
20:07:03;0.6
20:16:54;0.5
20:16:55;0.5
20:16:57;0.5
20:17:03;0.5
20:26:54;0.3
20:26:55;0.3
20:26:56;0.3
20:26:57;0.3
20:26:58;0.3
20:27:01;0.3
20:27:03;0.3
20:36:54;0.4
20:36:58;0.4
20:46:56;0.4
20:46:57;0.4
20:46:58;0.4
20:47:01;0.4
20:56:56;0.4
20:56:57;0.4
20:56:58;0.4
20:57:03;0.4
21:06:54;0.3
21:06:57;0.3
21:06:58;0.3
21:06:59;0.3
21:07:01;0.3
21:07:03;0.3
21:16:56;0.3
21:16:57;0.3
21:16:58;0.3
21:16:59;0.3
21:17:01;0.3
21:17:03;0.3
21:26:54;0.2
21:26:55;0.2
21:26:57;0.2
21:26:59;0.2
21:27:01;0.2
21:27:03;0.2
21:36:55;0.2
21:36:56;0.2
21:37:00;0.2
21:46:55;0.2
21:46:57;0.2
21:46:59;0.2
21:47:00;0.2
21:56:53;0.1
21:56:55;0.1
21:56:57;0.1
21:57:00;0.1
22:06:54;0.1
22:06:55;0.1
22:07:00;0.1
22:07:02;0.1
22:16:53;0.0
22:16:55;0.0
22:16:56;0.0
22:16:57;0.0
22:16:58;0.0
22:17:00;0.0
22:17:02;0.0
22:26:53;-0.1
22:26:54;-0.1
22:26:55;-0.1
22:26:56;-0.1
22:26:58;-0.1
22:27:02;-0.1
22:36:53;0.1
22:36:54;0.1
22:36:55;0.1
22:37:02;0.1
22:46:53;0.2
22:46:54;0.2
22:46:55;0.2
22:46:56;0.2
22:46:57;0.2
22:47:00;0.2
22:47:02;0.2
22:56:53;0.1
22:56:54;0.1
22:56:55;0.1
22:56:56;0.1
22:56:57;0.1
22:56:58;0.1
23:06:54;0.1
23:06:55;0.1
23:06:58;0.1
23:07:00;0.1
23:07:02;0.1
23:16:54;0.1
23:16:55;0.1
23:16:56;0.1
23:16:57;0.1
23:16:58;0.1
23:17:00;0.1
23:17:02;0.1
23:26:53;0.0
23:26:54;0.0
23:26:55;0.0
23:26:56;0.0
23:27:00;0.0
23:27:02;0.0
23:36:53;0.1
23:36:54;0.1
23:36:55;0.1
23:36:56;0.1
23:36:57;0.1
23:36:58;0.1
23:37:02;0.1
23:46:56;0.1
23:47:00;0.1
23:47:02;0.1
23:56:53;0.2
23:56:54;0.2
23:56:58;0.2
23:57:02;0.2
